ID;LEAGUE;NAME;EST;NATION;CITY;WIN;
IND;ELI;KUMLA INDIANERNA;1936;SWE;KUMLA;2
DAC;ELI;DACKARNA MALILLA;1929;SWE;MALILLA;7;
LEJ;ELI;LEJONEN;1936;SWE;GISLAVED;3;
PIR;ELI;PIRATERNA;1949;SWE;MOTALA;2;
ROS;ELI;ROSPIGGARNA;1930;SWE;HALLSTAVIK;5;
VIK;ELI;VARSTERVIK SPEEDWAY;1966;SWE;VARSTERVIK;2;
VAR;ELI;VARGARNA SPEEDWAY;1946;SWE;NORRKOPING;6;
ESK;ELI;ESKILSTUNA SMEDERNA;1951;SWE;ELSKILSTUNA;6;
CZE;EKS;KRONO-PLAST WLOKNIARZ CZESTOCHOWA;1946;POL;CZESTOCHOWA;4;
GOR;EKS;GEZET STAL GORZOW;1947;POL;GORZOW WIELKOPOLSKI;9;
GKM;EKS;BAYERSYSTEM GKM GRUDZIADZ;1976;POL;GRUDZIADZ;1;
LES;EKS;FOGO UNIA LESZNO;1938;POL;LESZNO;18;
LUB;EKS;ORLEN OIL MOTOR LUBLIN;1956;POL;LUBLIN;3;
TOR;EKS;PRES GRUPA DEWELOPERSKA TORUN;1962;POL;TORUN;5;
WRO;EKS;BETARD SPARTA WROCLAW;1950;POL;WROCLAW;5
ZIE;EKS;STELMET FALUBAZ ZIELONA GORA;1961;POL;ZIELONA GORA;7;
BYD;2EKS;ABRAMCZYK POLONIA BYDGOSZCZ;1920;POL;BYDGOSZCZ;7;
KRO;2EKS;CELFAST WILKI KROSNO;2018;POL;KROSNO;0;
LOD;2EKS;H.SKRZYDLEWSKA ORZEL LODZ;2005;POL;LODZ;0;
OST;2EKS;MOONFIN MALESA OSTROW WLKP.;1955;POL;OSTROW WLKP.;0;
PIL;2EKS;POLONIA PILA;1950;POL;PILA;1;
PSZ;2EKS;HUNTERS PSZ POZNAN;2004;POL;POZNAN;0;
RYB;2EKS;INPRO ROW RYBNIK;1932;POL;RYBNIK;12;
RZE;2EKS;ZKS STAL RZESZOW;1950;POL;RZESZOW;2;
OPO;KLZ;KOLEJARZ OPOLE;2015;POL;OPOLE;0;
LAN;KLZ;TRANS MF LANDSHUT;1922;GER;LANDSHUT;0;
DAU;KLZ;LOKOMOTIV DAUGAVPILS;1963;LAT;DAUGAVPILS;0;
KRA;KLZ;SPEEDWAY KRAKOW;2025;POL;KRAKOW;0;
GNI;KLZ;START GNIEZNO;2004;POL;GNIEZNO;0;
SWI;KLZ;SLASK SWIETOCHLOWICE;1998;POL;SWIETOCHLOWICE;0;
GDA;KLZ;WYBRZEZE GDANSK;2006;POL;GDANSK;0; 
ACE;PRE;BELLE VUE ACES;1928;GBR;MANCHESTER;14;
IPS;PRE;IPSWICH WITCHES;1950;GBR;IPSWICH;5;
LYN;PRE;KINGS LYNN STARS;1965;GBR;KINGS LYNN;2;
LEI;PRE;LEICESTER LIONS;1968;GBR;LEICESTER;1;
SHE;PRE;SHEFFIELD TIGERS;1929;GBR;SHEFFIELD;1;
NOR;PRE;NORTHAMPTON SPEEDWAY;2026;GBR;NORTHAMPTON;0;
ESB;LIG;ESBJERG VIKINGS;1929;DEN;ESBJERG;11;
GRI;LIG;GRINDSTED SPEEDWAY KLUB;1984;DEN;GRINDSTED;0;
HOL;LIG;HOLSTED TIGERS;1974;DEN;HOLSTED;15;
SLA;LIG;SLANGERUP SPEEDWAY KLUB;1967;DEN;SLANGERUP;7;
ELI;LIG;REGION VARDE ELITESPORT AND OUTRUP SPEEDWAY CLUB;1973;DEN;OUTRUP;5;
SES;LIG;SONDERJYLLAND ELITE SPEEDWAY;2020;DEN;VOJENS;1;
NOR;LIG;NORDJYSK ELITE SPEEDWAY;1957;DEN;BROVST;3;
FJE;LIG;TEAM FJELSTED;1971;DEN;HARNDRUP;6;
